SampleID,Farm_Code,Weight,ADG,Crude_Protein,Calcium,Phosphorous,Magnesium,TDN,Atopobiaceae,Streptococcaceae,Treponemataceae,Paludibacteraceae,UBA932,CAG-288,Lenti-01,CAG-138,Unidentified_Family2,Selenomonadaceae_42771,UBA1829,Unidentified_Family29,Burkholderiaceae_A_580492,Unidentified_Family30,Christensenellaceae,Lachnospiraceae,Ruminococcaceae,Rikenellaceae,Bacteroidaceae,Prevotellaceae,Spirochaetaceae,F082
S001,A,312.4,1.82,14.2,0.78,0.42,0.31,62.5,0.0412,0.0183,0.0271,0.0094,0.0087,0.0156,0.0203,0.0118,0.0091,0.0073,0.0064,0.0059,0.0141,0.0312,0.0184,0.0423,0.0298,0.0187,0.0512,0.0088
S002,B,287.6,2.14,15.8,0.92,0.51,0.38,65.3,0.0387,0.0214,0.0198,0.0112,0.0103,0.0172,0.0187,0.0134,0.0078,0.0061,0.0088,0.0072,0.0163,0.0284,0.0201,0.0389,0.0341,0.0213,0.0478,0.0095
S003,C,356.2,1.56,13.4,0.71,0.38,0.27,59.8,0.0521,0.0162,0.0342,0.0078,0.0064,0.0141,0.0219,0.0098,0.0103,0.0084,0.0051,0.0049,0.0127,0.0371,0.0167,0.0467,0.0274,0.0162,0.0543,0.0071
S004,A,398.7,2.43,16.5,0.84,0.47,0.34,67.1,0.0298,0.0241,0.0187,0.0134,0.0118,0.0198,0.0162,0.0147,0.0067,0.0053,0.0097,0.0083,0.0178,0.0267,0.0223,0.0356,0.0318,0.0241,0.0432,0.0102
S005,D,271.3,1.38,12.9,0.68,0.35,0.25,57.4,0.0634,0.0147,0.0398,0.0062,0.0053,0.0128,0.0231,0.0082,0.0112,0.0096,0.0043,0.0038,0.0112,0.0418,0.0151,0.0512,0.0256,0.0148,0.0589,0.0064
S006,E,421.5,2.78,17.3,0.97,0.54,0.41,69.4,0.0263,0.0267,0.0162,0.0152,0.0134,0.0213,0.0148,0.0163,0.0058,0.0047,0.0108,0.0091,0.0192,0.0243,0.0248,0.0331,0.0347,0.0268,0.0412,0.0111
S007,F,334.8,1.97,15.1,0.81,0.44,0.32,63.7,0.0348,0.0198,0.0234,0.0103,0.0091,0.0162,0.0193,0.0124,0.0083,0.0068,0.0071,0.0062,0.0151,0.0301,0.0189,0.0401,0.0312,0.0198,0.0495,0.0091
S008,G,445.2,3.12,18.1,1.03,0.58,0.44,71.2,0.0218,0.0298,0.0141,0.0167,0.0148,0.0228,0.0132,0.0178,0.0049,0.0038,0.0121,0.0103,0.0207,0.0214,0.0274,0.0298,0.0378,0.0294,0.0387,0.0124
S009,H,302.1,1.71,13.8,0.74,0.40,0.29,61.3,0.0478,0.0171,0.0312,0.0087,0.0072,0.0149,0.0208,0.0108,0.0098,0.0079,0.0056,0.0052,0.0134,0.0342,0.0174,0.0443,0.0284,0.0173,0.0527,0.0078
S010,I,367.9,2.29,16.0,0.88,0.49,0.37,66.2,0.0321,0.0228,0.0207,0.0121,0.0107,0.0183,0.0178,0.0141,0.0072,0.0058,0.0093,0.0078,0.0169,0.0278,0.0212,0.0374,0.0329,0.0228,0.0461,0.0098
 
