SampleID,Farm_Code,Weight,ADG,Crude_Protein,Calcium,Phosphorous,Magnesium,TDN,DUPH01,CAG-873,Lachnobacterium,Kandleria,Selenomonas_B_42753,Cryptobacteroides,CAG-603,Unidentified_Genus9,XBB2008,Asteroleplasma,UBA1066,Butyrivibrio_A_168226,Unidentified_Genus104,DTU089,Unidentified_Genus5,Schwartzia,Egerieousia,Stomatobaculum,UBA2813,Lenti-01,Unidentified_Genus109,Prevotella,Ruminococcus,Butyrivibrio,Fibrobacter
S001,A,312.4,1.82,14.2,0.78,0.42,0.31,62.5,0.0387,0.0124,0.0098,0.0143,0.0081,0.0092,0.0074,0.0068,0.0057,0.0051,0.0063,0.0079,0.0044,0.0058,0.0072,0.0046,0.0038,0.0031,0.0039,0.0201,0.0041,0.0312,0.0264,0.0187,0.0053
S002,B,287.6,2.14,15.8,0.92,0.51,0.38,65.3,0.0362,0.0138,0.0112,0.0167,0.0094,0.0107,0.0086,0.0079,0.0063,0.0058,0.0074,0.0091,0.0051,0.0068,0.0083,0.0053,0.0043,0.0036,0.0045,0.0187,0.0048,0.0287,0.0241,0.0213,0.0061
S003,C,356.2,1.56,13.4,0.71,0.38,0.27,59.8,0.0498,0.0107,0.0081,0.0121,0.0067,0.0074,0.0058,0.0053,0.0046,0.0041,0.0051,0.0063,0.0035,0.0047,0.0058,0.0037,0.0031,0.0024,0.0032,0.0218,0.0034,0.0341,0.0298,0.0162,0.0044
S004,A,398.7,2.43,16.5,0.84,0.47,0.34,67.1,0.0284,0.0154,0.0128,0.0189,0.0107,0.0121,0.0098,0.0091,0.0072,0.0066,0.0086,0.0107,0.0061,0.0081,0.0097,0.0063,0.0051,0.0042,0.0054,0.0162,0.0058,0.0264,0.0218,0.0241,0.0071
S005,D,271.3,1.38,12.9,0.68,0.35,0.25,57.4,0.0612,0.0092,0.0068,0.0104,0.0054,0.0061,0.0046,0.0041,0.0036,0.0032,0.0041,0.0051,0.0028,0.0038,0.0047,0.0028,0.0023,0.0018,0.0024,0.0231,0.0027,0.0398,0.0354,0.0148,0.0038
S006,E,421.5,2.78,17.3,0.97,0.54,0.41,69.4,0.0247,0.0171,0.0144,0.0213,0.0121,0.0138,0.0112,0.0104,0.0083,0.0076,0.0097,0.0121,0.0071,0.0094,0.0112,0.0073,0.0059,0.0049,0.0063,0.0148,0.0067,0.0243,0.0197,0.0268,0.0082
S007,F,334.8,1.97,15.1,0.81,0.44,0.32,63.7,0.0327,0.0132,0.0107,0.0156,0.0087,0.0098,0.0079,0.0073,0.0061,0.0054,0.0069,0.0086,0.0048,0.0063,0.0077,0.0049,0.0039,0.0032,0.0041,0.0193,0.0044,0.0301,0.0252,0.0198,0.0057
S008,G,445.2,3.12,18.1,1.03,0.58,0.44,71.2,0.0201,0.0191,0.0163,0.0241,0.0138,0.0158,0.0129,0.0121,0.0097,0.0089,0.0114,0.0142,0.0084,0.0111,0.0132,0.0087,0.0071,0.0058,0.0075,0.0132,0.0079,0.0218,0.0172,0.0294,0.0094
S009,H,302.1,1.71,13.8,0.74,0.40,0.29,61.3,0.0453,0.0117,0.0092,0.0134,0.0074,0.0083,0.0064,0.0059,0.0051,0.0046,0.0057,0.0072,0.0041,0.0054,0.0066,0.0041,0.0034,0.0027,0.0034,0.0208,0.0037,0.0323,0.0278,0.0173,0.0051
S010,I,367.9,2.29,16.0,0.88,0.49,0.37,66.2,0.0302,0.0144,0.0119,0.0174,0.0098,0.0111,0.0089,0.0082,0.0067,0.0061,0.0078,0.0097,0.0056,0.0073,0.0088,0.0057,0.0046,0.0038,0.0048,0.0178,0.0052,0.0274,0.0228,0.0228,0.0064
